,Incident Description,Record Classification
3345,"Last communication to the Shift Leader concerning the status of Line-A (at 17:30 Hours) was that it was not yet resolved. Shift Leader hand-over to nightshift was the line was still down. The actual status on hand-over was the line was running, the Shift Leader had not been informed of the new status. The nightshift Shift Leader was not informed or given information as to ""containment"" measures required if any further problems developed during the night !!!",Level0
3346,"A small crack in the hood sash of the lower sash on R203 Hood B has begun spreading across the face of the sash. The glass appears to not be tempered, and the crack is spreading on its own now. We stopped work and barricaded the hood to prevent work inside.
",Level0
3347,While installing piping in the rack a section of pipe had to be moved approximately 100 foot. 4 chain falls were attached  to the piping  to make the move and as it was being slid down the rack one end of the pipe came off of the beam and the flange contacted of piece of lighting conduit and broke the conduit at a connection point. Operations and electricians were contacted and found there was no damage to the internal wiring.,Level0
3348,"During transfer of Methyl Iodide from portable container to storage vessel, operator identified a pin hole leak on transfer hose.  Hose was removed from service.",Level1
3349,Line C had an abrupt stop. On re-starting the machine it had a clutch fault causing large amounts of smoke to come from the motor/clutch. We took action and evacuated the building. After waiting for an amount of time we entered the building and the smoke gone. We put someone on fire watch the remainder of the evening.,Level0
3351,"Beginning at 0700 Security began getting phone calls for foul odor in the plant. HS investigated to try to find the source. The source was from AKZO. The Emergency Response coordinator told me that their incinerator went down for a few minutes and they were steaming portions of a unit for clearing. He stated that the steaming was the cause and they stopped this process and will do something alternatively to clear the unit without putting it out to the atmosphere. He assured me that what was being discharged was not harmful to us. 
They were not aware of anything wrong until I called them.",Level0
3352,While changing filter elements at G-160B Zachry multi craft technician inadvertently opened 5 minute escape Pak cylinder while performing task requiring breathing.,Level0
3353,At 10;30 am Employees were performing lead abatement  job with no LEAD signage posted. Lead signs were post at the containment area upon discovery.,Level0
3354,NOISE FROM GALA DRIER UNIT ON START UP.LINE STOPPED AND BROKEN BLADE FOUND TO HAVE COME OFF  CUTTER HUB.GALA DRIER CHECKED AND BROKEN BLADE RETRIEVED.DAMAGE TO TOP SCREEN AND LARGE BOTTOM SCREEN.SPLINE ON CENTRIFUGAL DRIER BENT (SEE PHOTOS)SHAKER AND GALA CHECKED FOR METAL CONTAM.LINE WAS DIVERTING TO SIDE BIN AT TIME BUT ALL PRODUCT MADE UP TO THAT POINT (APPROX 1 TONNE) MARKED UP TO BE SCRAPPED AS ADDED PRECAUTION.,Level0
3355,"After some contractual / maintenance work on line A, a portable stand up light was left out. The trailing cable was laying across the floor behind line A extruder. This was a potential trip hazard. The light and cable was moved to a safer position.",Level0
3359,"The level chamber for F 0807 had been pulled for modifications and after install was being function tested to DCS by E/I technician.  The switch would not function and was pulled to shop for further repairs.  Upon arrival to shop, one of the two mercury switches glass bulbs was found to be cracked.  HSE was notified and Haz-Mat techs clean-up mercury using the proper clean-up kit.",Level0
3360,while swinging the jib on the 90-ton truck the rigger tied two ropes together to make a tag line long enough to hold the jib back as they pulled it around the boom as the rigger was slowing the jib down and the rope was easing through his hands the knot caught his glove and pulled him off balance causing him to trip and fall to the ground safety was there and evaluated employee there were no injuries,Level0
3361,"On 31st March it was reported that moulding machine for test bars does not achieve set temperatures and it stops showing an error. 
An engineer from Sumitomo DeMag was organised. During his excessive investigation, he found 215V on the neutral which was caused by a loose phase in the supply isolator. After the phase was tightened up, it was checked for a good neutral connection. The 215v had gone.
Heater bands started to work as normal.",Level0
3362,"Tech was demonstrating the safety stops on the two roll mill to two other lab personal. When activating the safety stops the rollers automatically separate. Tech started readjusting the rollers by engaging  a manual adjustment wheel. Another lab person, unaware this adjustment was happening, tripped a safety stop causing the adjustment wheel to rapidly spin in the opposite direction. There were no injuries associated with this incident but is deemed a near miss.",Level0
